sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,more_product_info,choose_model,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
IBU-33425,,Default,simple,"tecpaq,tecpaq/iBolt",base,miniProXL Vent Kit for all Smartphones,"<p>Drive safe and legal with the miniPro Window/Dashboard Kit. As the smallest iBOLT holder, the miniPro is compatible with all case/phone combinations and is designed for easy, one-handed operation. It can be placed on the dashboard or windshield securely with the ROK II Suction Mount.
</p><p>
The miniPro fits phone/case combinations from 2.25 In (58mm) to 3.7 In (94mm) wide, and unlimited height. This includes phones ranging in size from an iPhone 4/4s to a Samsung Galaxy Note 3 with large case. The ROK II suction Mount has a suction cup with an sticky bottom, allowing attachment directly to any windshield or hard surface on the dashboard.</p>",<p>The miniProXL Vent is a universal car holder that easily clips securely onto your vehicles air vent. Vent clip rotates to your air vent blade orientation and the resting leg supports phones and case combinations of all sizes. Includes 2 different mounting options to fit you needs. Attach the mount directly to your dashboard using our adhesive miniBall mount.</p>,1,1,0,"Catalog, Search",19.95,,,,minipro-xl,miniProXL for all Smartphones | iBOLT Car Docks | NFC Holders Mounts,,"The miniProXL is compatible with all smartphones and can be mounted on the windshield or dashboard. Being the smallest iBOLT holder, the miniPro leaves a small footprint in the car. The open design allows charging ports, audio jacks, and camera views to r",https://www.dropbox.com/sh/9xez6sfw48b977w/AACXa2wV1C5_ljieyqxqxPY3a/miniPro%20vent%20main.jpg?dl=0,,https://www.dropbox.com/sh/9xez6sfw48b977w/AACXa2wV1C5_ljieyqxqxPY3a/miniPro%20vent%20main.jpg?dl=0,,https://www.dropbox.com/sh/9xez6sfw48b977w/AACXa2wV1C5_ljieyqxqxPY3a/miniPro%20vent%20main.jpg?dl=0,,http://34.247.1.22/tec_pac/pub/iBolt/prod02-ibuc-33417.jpg,,"12/9/16, 8:50 AM","12/9/16, 8:50 AM","12/9/16, 8:50 AM","12/9/22, 12:00 AM",Block after Info Column,,,,Use config,,"12/9/16, 8:50 AM",,,,,,,"<li>Compatibility: Designed to fit most phones, from an iPhone 4 to Samsung Galaxy Note 3.</li>
<li>Mounting: Strong and vibration free ROK II Mount included. Attach on windshield or dashboard.</li>
<li>Case compatibility: Designed to fit most cases including Otterbox Defender and Lifeproof.</li>
<li>Camera is always visible for capturing video.</li>",,featured=Yes,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,1,,1,,1,"https://www.dropbox.com/sh/9xez6sfw48b977w/AABCyj3-G2SKzYaEt45_Mfnza/prod-01-IBU-33425.jpg?dl=0,https://www.dropbox.com/sh/9xez6sfw48b977w/AAC4Q_QIyOpskacYNKdgV7vGa/prod-02-IBU-33425.jpg?dl=0,https://www.dropbox.com/sh/9xez6sfw48b977w/AAAFM0xqw1DQH-iOkyG0tM1Xa/prod-03-IBU-33425.jpg?dl=0,https://www.dropbox.com/sh/9xez6sfw48b977w/AAB81JCh_dstOLqRMm9c6SUka/prod-04-IBU-33425.jpg?dl=0,https://www.dropbox.com/sh/9xez6sfw48b977w/AAC2z_a8ohz-9ZhMyLGf1C-Qa/prod-05-IBU-33425.jpg?dl=0,https://www.dropbox.com/sh/9xez6sfw48b977w/AABhBxHjqu1qhRCWmV83UDYma/prod-06-IBU-33425.jpg?dl=0,https://www.dropbox.com/sh/9xez6sfw48b977w/AAC80jRKsTNwmEauKHKN8_hta/prod-07-IBU-33425.jpg?dl=0",,,,,,,,,,,
IBUC-33417,,Default,simple,"tecpaq,tecpaq/iBolt",base,sPro2 Connect for NFC enabled Phones,"<p>The sPro2 is compatible with all case/phone combinations and is designed for easy, one-handed operation. It can be placed on the dashboard or windshield securely with the ROK II Suction Mount. Designed with the iPhone in mind, the bottom feet on the sPro2 are adjustable to allow for charging and auxiliary cables. Included in the kit is an NFC tag for compatible Android phones. Using NFC Technology, the tag automatically launches the iBOLT Dock'n Drive app that can be downloaded for free in the Google Playstore. A dash disc is included for soft dashboard surfaces.</p>

<p>The s<strong>Pro</strong>2 fits phones from 4.5 In (115mm) to 6.7 In (170mm) in height, and unlimited width. This includes phones ranging in size from an iPhone 4/4s to a Samsung Galaxy Note 3 with large case. The NFC Tag is compatible with most NFC capable Android phones.</p>","<p>The sPro2 is compatible with all smartphones and can be mounted on the dashboard or windshield.The bottom feet are adjustable to allow for charging and auxiliary cables, and the camera view is open for the iPhone. The included NFC tag automatically launches the Dock'n Drive Android app.</p>",1,1,0,"Catalog, Search",29.95,,,,spro2-connect,sPro2 Connect for NFC Phones | iBOLT Car Docks | Android Mounts Holder,,"The sPro2 is compatible with all smartphones and can be mounted on the dashboard or windshield.The bottom feet are adjustable to allow for charging and auxiliary cables, and the camera view is open for the iPhone. The included NFC tag automatically launch",http://34.247.1.22/tec_pac/pub/iBolt/prod02-ibuc-33417.jpg,,http://34.247.1.22/tec_pac/pub/iBolt/prod02-ibuc-33417.jpg,,http://34.247.1.22/tec_pac/pub/iBolt/prod02-ibuc-33417.jpg,,https://www.dropbox.com/sh/9xez6sfw48b977w/AACXa2wV1C5_ljieyqxqxPY3a/miniPro%20vent%20main.jpg?dl=0,,"12/9/16, 8:50 AM","12/9/16, 8:50 AM","12/9/16, 8:50 AM","12/9/22, 12:00 AM",Block after Info Column,,,,Use config,,"12/9/16, 8:50 AM",,,,,,,"<li>Compatibility: Designed to fit most phones, from an iPhone 4 to Samsung Galaxy Note 3.</li>
<li>Mounting: Strong and vibration free ROK II Mount included. Attach on windshield or dashboard.</li>
<li>Case compatibility: Designed to fit most cases including Otterbox Defender and Lifeproof.</li>
<li>Camera is always visible for capturing video.</li>",,featured=Yes,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,1,,1,,1,"http://34.247.1.22/tec_pac/pub/iBolt/prod01-ibuc-33417.jpg,http://34.247.1.22/tec_pac/pub/iBolt/prod05-ibuc-33417.jpg,http://34.247.1.22/tec_pac/pub/iBolt/prod06-ibuc-33417.jpg,http://34.247.1.22/tec_pac/pub/iBolt/prod07-ibuc-33417.jpg,http://34.247.1.22/tec_pac/pub/iBolt/prod08-ibuc-33417.jpg",,,,,,,,,,,
IBUC-33418,,Default,simple,"tecpaq,tecpaq/iBolt",base,miniPro Connect Kit for NFC enabled Phones,"<p>As the smallest iBOLT holder, the miniPro is compatible with all case/phone combinations and is designed for easy, one-handed operation. It can be placed on the dashboard or windshield securely with the ROK II Suction Mount. Included in the kit is an NFC tag for compatible Android phones. Using NFC Technology, the tag automatically launches the iBOLT Dock'n Drive app that can be downloaded for free in the Google Playstore.</p>

<p>The miniPro fits phone/case combinations from 2.25 In (58mm) to 3.7 In (94mm) wide, and unlimited height. This includes phones ranging in size from an iPhone 4/4s to a Samsung Galaxy Note 3 with large case. The NFC Tag is compatible with most NFC capable Android phones.
</p>","<p>The miniPro is compatible with all smartphones and can be mounted on the windshield or dashboard. Being the smallest iBOLT holder, the miniPro leaves a small footprint in the car. The included NFC tag automatically launches the Dock'n Drive Android app in the Google Play Store.</p>",1,1,0,"Catalog, Search",24.95,,,,minipro-connect,miniPro Connect Kit for NFC Phones | iBOLT Car Docks | Android Mounts,,"The miniPro is compatible with all smartphones and can be mounted on the windshield or dashboard. Being the smallest iBOLT holder, the miniPro leaves a small footprint in the car. The included NFC tag automatically launches the Dock'n Drive Android app in",http://dealer.ibolt.co/ufiles/prod01-IBUC-33418.jpg,,http://dealer.ibolt.co/ufiles/prod01-IBUC-33418.jpg,,http://dealer.ibolt.co/ufiles/prod01-IBUC-33418.jpg,,http://dealer.ibolt.co/ufiles/prod01-IBUC-33418.jpg,,"12/9/16, 8:50 AM","12/9/16, 8:50 AM","12/9/16, 8:50 AM","12/9/22, 12:00 AM",Block after Info Column,,,,Use config,,"12/9/16, 8:50 AM",,,,,,,"<li>Compatibility: Designed to fit most phones, from an iPhone 4 to Samsung Galaxy Note 3.</li>
<li>Mounting: Strong and vibration free ROK II Mount included. Attach on windshield or dashboard.</li>
<li>Case compatibility: Designed to fit most cases including Otterbox Defender and Lifeproof.</li>
<li>Camera is always visible for capturing video.</li>",,,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,1,,1,,1,"http://dealer.ibolt.co/ufiles/prod02-IBUC-33418.jpg,http://dealer.ibolt.co/ufiles/prod03-IBUC-33418.jpg,http://dealer.ibolt.co/ufiles/prod04-IBUC-33418.jpg,http://dealer.ibolt.co/ufiles/prod05-IBUC-33418.jpg,http://dealer.ibolt.co/ufiles/prod06-IBUC-33418.jpg,http://dealer.ibolt.co/tumme.aspx?src=/ufiles/prod07-IBUC-33418.jpg",,,,,,,,,,,
IBXC-33617,,Default,simple,"tecpaq,tecpaq/iBolt",base,xProDock Connect for NFC enabled Phones,"<p>
The stylish xProDock is compatible with all case/phone combinations and is designed for easy, one-handed operation. It can be placed on the dashboard or windshield securely with the ROK II Suction Mount. The open design allows for buttons, cameras, and charging ports to be open and accessible. Included in the kit is an NFC tag for compatible Android phones. Using NFC Technology, the tag automatically launches the iBOLT Dock'n Drive app that can be downloaded for free in the Google Playstore. A microUSB charging cable and a dash disc for soft dashboard surfaces are also included in the kit.</p>

<p>The xProDock fits phone/case combinations from 2.59 In (66mm) to 3.7 In (94mm) wide, and unlimited height. This includes phones ranging in size from an Samsung Galaxy S3 to a Samsung Galaxy Note 3 with a large case. The NFC Tag is compatible with most NFC capable Android phones.</p>","<p>The xProDock is compatible with most smartphones. It can be mounted on the dashboard or windshield with the ROK II Suction Mount. The open design allows for buttons, cameras, and charging ports to be open and accessible. The included NFC tag automatically launches the Dock'n Drive Android app.</p>",1,1,0,"Catalog, Search",39.95,29.95,,,xprodock-connect,xProDock Connect for NFC enabled Phones | iBOLT Car Docks | NFC Enabled Mounts,,"The xProDock is compatible with most smartphones. It can be mounted on the dashboard or windshield with the ROK II Suction Mount. The open design allows for buttons, cameras, and charging ports to be open and accessible. The included NFC tag automatically",http://34.247.1.22/tec_pac/pub/iBolt/prod01-ibxc-33617.jpg,,http://34.247.1.22/tec_pac/pub/iBolt/prod01-ibxc-33617.jpg,,http://34.247.1.22/tec_pac/pub/iBolt/prod01-ibxc-33617.jpg,,http://34.247.1.22/tec_pac/pub/iBolt/prod01-ibxc-33617.jpg,,"12/9/16, 8:50 AM","12/9/16, 8:50 AM",,,Block after Info Column,,,,Use config,,"12/9/16, 8:50 AM",,,,,,,"<li>Compatibility: Designed to fit most phones, from a Galaxy S3 to Samsung Galaxy Note 3 or HTC One Max.</li>
<li>Mounting: Strong and vibration free ROK II Mount included. Attach on windshield or dashboard.</li>
<li>Case compatibility: Designed to fit most cases including Otterbox Defender and Lifeproof.</li>
<li>DockMode: Included NFC tag launches DockMode on compatible Android devices. </li>
<li>Camera is always visible for capturing video.</li>",,,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,1,,1,,1,"http://34.247.1.22/tec_pac/pub/iBolt/prod02-ibxc-33617.jpg,http://34.247.1.22/tec_pac/pub/iBolt/prod03-ibxc-33617.jpg,http://34.247.1.22/tec_pac/pub/iBolt/prod04-ibxc-33617.jpg,http://34.247.1.22/tec_pac/pub/iBolt/prod06-ibxc-33617.jpg,http://34.247.1.22/tec_pac/pub/iBolt/prod07-ibxc-33617.jpg,http://34.247.1.22/tec_pac/pub/iBolt/prod10-ibxc-33617.jpg,http://34.247.1.22/tec_pac/pub/iBolt/prod11-ibxc-33617.jpg",,,,,,,,,,,
IBXH-33602,,Default,simple,"tecpaq,tecpaq/iBolt",base,xProDock for HTC w. 6ft USB charging cable,"<p>Drive safe and legal with the xProDock. The stylish xProDock is compatible with most HTC Smartphones. The xProDock can be placed on the dashboard or windshield securely with the ROK II Suction Mount. The open design allows for buttons, cameras, and charging ports to be open and accessible. A charging arm is included that launches the iBOLT Dock'n Drive app that is free in the Google Playstore.</p>

<p>The xProDock fits cases and batteries that range from 2.59 In (66mm) to 3.7 In (94mm) in width, and unlimited height. This includes large cases and batteries such as Otterbox, Lifeproof, and ZeroLemon. The ROK II suction Mount has a suction cup with a sticky bottom, allowing attachment directly to any windshield or hard surface on the dashboard. A microUSB Charging cable and a dash disc for soft dashboard surfaces is also included in the kit. </p>","<p>The xProDock is compatible with HTC devices from the size of the One X to the One Max, and can be mounted on the dashboard or windshield. The open design allows for buttons, cameras, and charging ports to be open and accessible. The included 6ft cable allows for placement on the left side of the steering wheel.</p>",1,1,0,"Catalog, Search",39.95,,,,xprodock-htc,xProDock for HTC + Charging Cable | iBOLT Docks & Vehicle Mounts,,The xProDock for HTC safely lets you use your phone as a GPS and media center. Compatible with most smartphones. Mounts on dashboard or windshield,https://ibolt.co/media/catalog/product/i/b/ibxh-33602_xpro_for_htc_main.jpg,,https://ibolt.co/media/catalog/product/i/b/ibxh-33602_xpro_for_htc_main.jpg,,https://ibolt.co/media/catalog/product/i/b/ibxh-33602_xpro_for_htc_main.jpg,,https://ibolt.co/media/catalog/product/i/b/ibxh-33602_xpro_for_htc_main.jpg,,"12/9/16, 8:50 AM","12/9/16, 8:50 AM",,,Block after Info Column,,,,Use config,,"12/9/16, 8:50 AM",,,,,,,"<li>Compatibility: Designed to fit most HTC devices from the size of the One X to the DNA.</li>
<li>Mounting: Strong and vibration free ROK II Mount included. Attach on windshield or dashboard.</li>
<li>Case compatibility: Designed to fit most cases including Otterbox Defender and Lifeproof.</li>
<li>DockMode: The ChargingArm on the dock automatically launches HTC Car Mode.</li>
<li>Charging Cable: The 6ft cable allows for placement on the left side of the steering wheel. </li>
",,,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,1,,1,,1,"https://ibolt.co/media/catalog/product/i/b/ibxc-33617-2_1.jpg,https://ibolt.co/media/catalog/product/i/b/ibxc-33617-3_1.jpg,https://ibolt.co/media/catalog/product/i/b/ibxc-33617-4_1.jpg",,,,,,,,,,,
IBX-33608,,Default,simple,"tecpaq,tecpaq/iBolt",base,xProDock Universal Active Kit with 6ft charging cable ,"<p>Drive safe and legal with the xProDock. The stylish xProDock is compatible with most Smartphones. It can be placed on the dashboard or windshield securely with the ROK II Suction Mount. The open design allows for buttons, cameras, and charging ports to be open and accessible. Included charging arms for HTC, Samsung, and all other microUSB smartphones are included, and will launch any 'Car Mode' software found on the device.</p>

<p>The xProDock fits cases and batteries that range from 2.59 In (66mm) to 3.7 In (94mm) in width, and unlimited height. This includes large cases and batteries such as Otterbox, Lifeproof, and ZeroLemon. The ROK II suction Mount has a suction cup with a sticky bottom, allowing attachment directly to any windshield or hard surface on the dashboard. A microUSB Charging cable and a dash disc for soft dashboard surfaces is also included in the kit.</p>","<p>The xProDock is compatible with most smartphones and can be mounted on the dashboard or windshield. The open design allows for buttons, cameras, and charging ports to be open and accessible. The included 6ft cable allows for placement on the left side of the steering wheel. </p>",1,1,0,"Catalog, Search",44.95,,,,xprodock,xProDock Universal Active Kit with 6ft charging cable | iBOLT Car Docks,,The xProDock allows you to safely use your phone as a GPS and media center. Compatible with most smartphones. Can mount on dashboard or windshield. ,https://ibolt.co/media/catalog/product/i/b/ibxh-33602_xpro_for_htc_main.jpg,,https://ibolt.co/media/catalog/product/i/b/ibxh-33602_xpro_for_htc_main.jpg,,https://ibolt.co/media/catalog/product/i/b/ibxh-33602_xpro_for_htc_main.jpg,,https://ibolt.co/media/catalog/product/i/b/ibxh-33602_xpro_for_htc_main.jpg,,"12/9/16, 8:50 AM","12/9/16, 8:50 AM",,,Block after Info Column,,,,Use config,,"12/9/16, 8:50 AM",,,,,,,"<li>Compatibility: Designed to fit most phones, from a Galaxy S3 to Samsung Galaxy Note 3 or HTC One Max.</li>
<li>Mounting: Strong and vibration free ROK II Mount included. Attach on windshield or dashboard.</li>
<li>Case compatibility: Designed to fit most cases including Otterbox Defender and Lifeproof.</li>
<li>DockMode: Four ChargingArms included to launch DockMode if available on device.</li>
<li>Charging Cable: The 6ft cable allows for placement on the left side of the steering wheel. </li>",,,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,1,,1,,1,"https://ibolt.co/media/catalog/product/i/b/ibxc-33617-2_1.jpg,https://ibolt.co/media/catalog/product/i/b/ibxc-33617-3_1.jpg,https://ibolt.co/media/catalog/product/i/b/ibxc-33617-4_1.jpg",,,,,,,,,,,
AMPS PLATE,,Default,simple,"tecpaq,tecpaq/iBolt",base,Amps Plate,"<p>The iBOLT Amps plate is developed for users that prefer to have the car-dock attached to a pedestal Mount or vehicle specific mounting solutions from providers like KUDA, ProClip, ProFit etc. The ball joint attaches to the back of any iBOLT designed car-dock and the flat 'plate' screws into the mounting solution. The 4 holes are spaced with the industry standard 32 mm x 38 mm spacing, commonly referred to as 'AMPS' plate. Delivered with double sided tape and 4 small screws with matching small bolts. Allows car-dock to turn either horizontal or vertical. Easy to adjust while driving!</p>","<p>Mounting solution includes Amps mount, 2-sided tape, and screws to mount to vehicle specific mounting solutions. The 4 holes are spaced with the industry standard 32mm x 38mm spacing, commonly referred to as 'AMPS' plate.</p>",1,1,0,"Catalog, Search",9.95,,,,amps-plate,Amps Plate | iBOLT Car Docks | Phone Mounts Android NFC Holders,,"With the iBOLT Amps you can attach your car dock to a pedestal mount or vehicle specific solutions from providers like KUDA, ProClip, ProFit etc.",https://ibolt.co/media/catalog/product/i/b/ibolt-amps-plate.jpg,,https://ibolt.co/media/catalog/product/i/b/ibolt-amps-plate.jpg,,https://ibolt.co/media/catalog/product/i/b/ibolt-amps-plate.jpg,,https://ibolt.co/media/catalog/product/i/b/ibolt-amps-plate.jpg,,"12/9/16, 8:50 AM","12/9/16, 8:50 AM",,,Block after Info Column,,,,Use config,,"12/9/16, 8:50 AM",,,,,,,"<li>17 mm ball joint - fits all iBOLT car-docks</li>
					
						<li>32x38 mm industry standard hole pattern (=AMPS)</li>
					
						<li>Use as alternative to suction mount</li>
					
						<li>Perfect for KUDA, ProClip or any Pedestal type Mount</li>
					
						<li>Double sided tape included and 4 screws</li>",,,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,1,,1,,1,"https://ibolt.co/media/catalog/product/a/m/amps-plate_1.jpg,https://ibolt.co/media/catalog/product/a/m/amps-plate-2_1.jpg",,,,,,,,,,,
IBU-33415,,Default,simple,"tecpaq,tecpaq/iBolt",base,sPro2 Windshield Dash and Vent Combo Kit,<p>Holds most devices from iPhone to Galaxy Note 3 with a large case such as the OtterBox defender.</p>,"<p>The sPro2 is compatible with all smartphones and can be mounted on the windshield or dashboard. A vent mount is also included in the combo kit for as an extra mounting option. Designed with the iPhone in mind, the open design allows all ports and the camera lens to remain unobstructed and available for use.</p>",1,1,0,"Catalog, Search",29.95,,,,spro2-combo-kit,sPro2 Windshield Dash and Vent Kit | iBOLT Car Docks | NFC Mounts,,"The sPro2 is compatible with all smartphones and can be mounted on the windshield or dashboard. A vent mount is also included in the combo kit for as an extra mounting option. Designed with the iPhone in mind, the open design allows all ports and the came",https://ibolt.co/media/catalog/product/i/b/ibu-33414-main_1.jpg,,https://ibolt.co/media/catalog/product/i/b/ibu-33414-main_1.jpg,,https://ibolt.co/media/catalog/product/i/b/ibu-33414-main_1.jpg,,https://ibolt.co/media/catalog/product/i/b/ibu-33414-main_1.jpg,,"12/9/16, 8:50 AM","12/9/16, 8:50 AM",,,Block after Info Column,,,,Use config,,"12/9/16, 8:50 AM",,,,,,,"<li>Compatibility: Designed to fit most phones, from an iPhone 4 to Samsung Galaxy Note 3.</li>
<li>Mounting: Strong and vibration free ROK II Mount included. Attach on windshield or dashboard.</li>
<li>Vent Mount: Mount for placement on air conditioning vents included.</li>
<li>Case compatibility: Designed to fit most cases including Otterbox Defender and Lifeproof.</li>
<li>iPhone camera is always visible for capturing video.</li>",,,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,1,,1,,1,"https://ibolt.co/media/catalog/product/i/b/ibu-33414-2_1.jpg,https://ibolt.co/media/catalog/product/i/b/ibu-33414-3_1.jpg,https://ibolt.co/media/catalog/product/i/b/ibu-33414-4_1.jpg",,,,,,,,,,,
IBBT-91100,,Default,simple,"tecpaq,tecpaq/iBolt",base,Charge & Play USB charger w/ Bluetooth Audio to 3.5mm Aux-In,This charges at 2.1 Amp.,The iBOLT Bluetooth Charger uses a USB 2.0 charging output. Integrated into the charger is bluetooth technology and a 3.5mm Aux-Out cable. This combination allows you to play your music/GPS audio through your car speakers while charging the device. ,1,1,0,"Catalog, Search",29.95,,,,charge-play-usb-charger-with-integrated-bluetooth-audio-to-3-5mm-aux-in-car-docks-phone-mounts-holders,"""Charge & Play"" USB charger with integrated Bluetooth Audio to 3.5mm Aux-In",,The iBOLT Bluetooth Charger uses a micro USB 2.0 charging output. Integrated into the charger is bluetooth technology and a 3.5mm Aux-Out cable. This combination allows you to play your music/GPS audio through your car speakers while charging the device. ,https://ibolt.co/media/catalog/product/b/l/bluetooth-ibolt-car-dock.jpg,,https://ibolt.co/media/catalog/product/b/l/bluetooth-ibolt-car-dock.jpg,,https://ibolt.co/media/catalog/product/b/l/bluetooth-ibolt-car-dock.jpg,,https://ibolt.co/media/catalog/product/b/l/bluetooth-ibolt-car-dock.jpg,,"12/9/16, 8:50 AM","12/9/16, 8:50 AM",,,Block after Info Column,,,,Use config,,"12/9/16, 8:50 AM",,,,,,,"<li>Charging is compatible with any phone using a USB 2.0 or 3.0 charging port.</li>
<li>Charges at standard 2.1 amp</li>
<li>Streams music and Phone Calls over Bluetooth, then connects to Aux Port</li>
<li>Bluetooth compatible with any device with bluetooth compatibility. Vehicle must have a Aux-in connection.</li>

",,,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,1,,1,,1,https://ibolt.co/media/catalog/product/b/l/bluetooth-streamer-in-honda-glow.jpg,,,,,,,,,,,
IBA-33450,,Default,simple,"tecpaq,tecpaq/iBolt",base,"iPro2 for iPhone X / 8 / 8+ / 7s / 7+ /6s / 6s+, 6 / 6+, 5 / 5s / 5c",,"<p>The iPro2 is compatible with the iPhone 6, iPhone 6+ & 5 / 5s / 5c and can be mounted on the dashboard or windshield.The iPro2 is an MFI approved car-dock with integrated Lightning Connector, no more fumbling with finding and connecting a charging cable every time you step into the car. Open camera view allows for dash cam functionality.</p>",1,1,0,"Catalog, Search",39.95,,,,ipro2-for-iphone-6-and-6-plus,iPro2 for iPhone 6 6+ 5 5s 5c Car Dock | Phone Mounts | Vehicle Holder,,The iPro 2 is compatible with the iPhone 6 6+ 5 5s and 5c and can be mounted on the dashboard or windshield. The design enables use of the camera.,https://ibolt.co/media/catalog/product/i/p/ipro2-main-72ppi.jpg,,https://ibolt.co/media/catalog/product/i/p/ipro2-main-72ppi.jpg,,https://ibolt.co/media/catalog/product/i/p/ipro2-main-72ppi.jpg,,https://ibolt.co/media/catalog/product/i/p/ipro2-main-72ppi.jpg,,"12/9/16, 8:50 AM","12/9/16, 8:50 AM",,,Block after Info Column,,,,Use config,,"12/9/16, 8:50 AM",,,,,,,"<li>Compatibility: Designed for iPhone 5 / 5c / 5s / 6 / 6+ . Aux-out cable always accessible. </li>
<li>Charging: 6.5” (2 meter) integrated charging cable. Plug USB-end into car USB port (if available) or into a USB car charger (sold separately).</li>
<li>Mounting: Strong and vibration free ROK III Mount included. Attach on windshield or dashboard.</li>
<li>Case compatibility: Works with most cases. Opening in bottom of case must be 10.5 mm or larger (MFI standard). Virtually all standard cases work and most Otterbox Commuter (not Defender & Lifeproof models).</li>
<li>Connector Housing: Secures the lightning cable (not included) into the dock. </li>
<li>Dock design leaves camera view open. </li>
<li>Ideal for GPS Navigation</li>
<li>Complies with Hands-Free Laws (State Laws Vary)</li>
<li>Connect with Dock’n Drive iOS App </li>
",,,100,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,1,0,0,0,,1,,1,,1,"https://ibolt.co/media/catalog/product/i/p/ipro2-compatability-72ppi.jpg,https://ibolt.co/media/catalog/product/i/p/ipro2-features.jpg,https://ibolt.co/media/catalog/product/i/p/ipro2-window.jpg,https://ibolt.co/media/catalog/product/i/p/ipro2-dash.jpg,https://ibolt.co/media/catalog/product/i/p/ipro2-lifestyle.jpg,https://ibolt.co/media/catalog/product/i/p/ipro2-packaging.jpg",,,,,,,,,,,
